time,open,high,low,close,tick_volume,spread,real_volume
1708452900,2026.62,2028.07,2026.03,2027.58,1915,16,0
1708453800,2027.58,2028.36,2026.77,2027.05,1455,16,0
1708454700,2027.03,2027.86,2026.58,2026.88,1420,16,0
1708455600,2026.87,2027.36,2025.64,2025.9,1764,18,0
1708456500,2025.9,2026.63,2025.49,2026.46,1363,18,0
1708457400,2026.47,2027.68,2026.27,2027.45,1269,18,0
1708458300,2027.41,2028.77,2027.4,2028.67,1441,18,0
1708459200,2028.65,2028.97,2028.12,2028.24,1050,18,0
1708460100,2028.24,2028.61,2026.65,2028.32,1468,18,0
1708461000,2028.31,2028.47,2026.68,2027.07,1206,18,0
1708461900,2027.07,2027.54,2026.66,2027.13,711,18,0
1708462800,2027.17,2027.32,2026.46,2027.14,884,18,0
1708463700,2027.12,2027.7,2026.94,2027.32,737,18,0
1708464600,2027.33,2027.57,2026.26,2026.31,807,18,0
1708465500,2026.3,2026.48,2024.73,2025.14,1630,18,0
1708466400,2025.16,2025.24,2023.46,2023.93,1471,18,0
1708467300,2023.94,2024.79,2023.7,2024.63,1240,18,0
1708468200,2024.63,2024.81,2023.48,2023.65,1015,18,0
1708469100,2023.67,2024.74,2023.65,2024.27,1027,18,0
1708470000,2024.21,2024.62,2023.93,2024.37,341,29,0
1708470900,2024.35,2024.63,2024.12,2024.31,212,29,0
1708471800,2024.31,2024.4,2023.78,2024.04,232,27,0
1708472700,2023.94,2024.08,2023.49,2023.74,368,29,0
1708477200,2024.15,2024.3,2023.63,2024.11,270,20,0
1708478100,2024.14,2024.32,2023.91,2024.09,283,20,0
1708479000,2024.11,2025.03,2023.72,2024.6,241,20,0
1708479900,2024.53,2024.77,2023.97,2024.17,303,20,0
1708480800,2024.16,2024.29,2022.82,2023.03,622,20,0
1708481700,2023.03,2023.76,2022.81,2023.68,370,20,0
1708482600,2023.6,2023.97,2023.34,2023.72,374,19,0
1708483500,2023.69,2023.92,2023.35,2023.53,380,20,0
1708484400,2023.53,2024.44,2023.26,2024.09,613,20,0
1708485300,2024.09,2025.55,2023.97,2025.31,827,20,0
1708486200,2025.32,2025.91,2024.92,2025.89,593,20,0
1708487100,2025.9,2026.12,2025.18,2025.34,624,20,0
1708488000,2025.33,2027.22,2025.23,2026.79,856,20,0
1708488900,2026.8,2027.84,2026.52,2027.56,686,20,0
1708489800,2027.56,2028.61,2027.33,2028.61,690,20,0
1708490700,2028.52,2029.19,2027.08,2027.84,1107,20,0
1708491600,2027.83,2028.98,2027.63,2028.8,651,20,0
1708492500,2028.81,2030.13,2028.73,2029.8,1054,20,0
1708493400,2029.89,2030.3,2029.28,2030.16,807,20,0
1708494300,2030.05,2030.92,2029.77,2030.46,847,20,0
1708495200,2030.36,2031.21,2030.14,2030.74,994,20,0
1708496100,2030.54,2031.31,2030.54,2030.93,694,20,0
1708497000,2030.93,2031.09,2029.98,2030.26,721,20,0
1708497900,2030.16,2031.07,2030.1,2030.8,749,20,0
1708498800,2030.83,2031.47,2030.05,2030.15,925,20,0
1708499700,2030.25,2030.56,2029.3,2030.21,1104,20,0
1708500600,2030.3,2031.82,2030.19,2031.68,1041,20,0
1708501500,2031.58,2032.27,2030.73,2030.99,1339,20,0
1708502400,2031.02,2031.2,2029.34,2029.6,1240,20,0
1708503300,2029.38,2030.59,2029.37,2030.31,1213,20,0
1708504200,2030.31,2030.61,2029.6,2029.69,1017,19,0
1708505100,2029.61,2030.3,2029.07,2029.95,1289,19,0
1708506000,2029.96,2030.64,2029.45,2030.59,1202,19,0
1708506900,2030.49,2030.59,2028.58,2028.81,1050,19,0
1708507800,2028.72,2029.25,2028.27,2028.87,2015,16,0
1708508700,2028.87,2029.5,2028.63,2028.83,1364,16,0
1708509600,2028.83,2029.32,2027.89,2028.84,2049,16,0
1708510500,2028.85,2029.03,2027.48,2027.82,1970,16,0
1708511400,2027.83,2028.05,2026.16,2026.92,1895,16,0
1708512300,2026.92,2027.42,2026.1,2026.54,1780,16,0
1708513200,2026.56,2027.36,2025.83,2026.26,1966,16,0
1708514100,2026.35,2028.11,2025.94,2027.76,2025,16,0
1708515000,2027.81,2028.49,2026.98,2028.07,1710,16,0
1708515900,2028.07,2028.7,2027.67,2028.17,1870,16,0
1708516800,2028.16,2028.49,2027.78,2028.41,1229,16,0
1708517700,2028.4,2028.97,2028.15,2028.52,1349,16,0
1708518600,2028.53,2029.9,2028.28,2028.76,1681,16,0
1708519500,2028.77,2030.23,2028.77,2029.85,1576,16,0
1708520400,2029.84,2030.12,2027.77,2028.03,1652,16,0
1708521300,2028.02,2028.36,2027.27,2027.67,1649,16,0
1708522200,2027.66,2028.52,2027.29,2027.34,1572,16,0
1708523100,2027.43,2028.36,2027.32,2028.24,1134,16,0
1708524000,2028.25,2029.8,2027.9,2029.53,1736,16,0
1708524900,2029.63,2030.15,2028.42,2029.0,1863,16,0
1708525800,2029.0,2029.38,2028.17,2028.96,1551,16,0
1708526700,2029.06,2029.75,2028.76,2029.43,1437,16,0
1708527600,2029.43,2031.25,2028.96,2030.82,2405,16,0
1708528500,2030.82,2031.62,2027.54,2028.67,2776,16,0
1708529400,2028.69,2031.02,2028.44,2030.12,2477,16,0
1708530300,2030.14,2030.52,2027.88,2028.81,2200,16,0
1708531200,2028.8,2030.4,2028.51,2029.41,2553,16,0
1708532100,2029.41,2029.85,2028.33,2028.72,2193,16,0
1708533000,2028.73,2029.69,2026.88,2028.69,3512,16,0
1708533900,2028.69,2029.96,2027.26,2027.4,2757,16,0
